id,type,domain,enabled,date_added,date_modified,comment
98,1,expedia.co.uk,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
99,1,t20live.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
100,1,sportsecyclopedia.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
101,1,watch8now.me,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
102,1,livetvcafe.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
103,1,agarioskins.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
104,1,mylivecricket.in,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
105,1,expedia.it,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
106,1,freesamplesnetwork.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
107,1,krasivye-stihi.3dn.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
108,1,ausnznet.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
109,1,beagle-browser.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
110,1,buzz-plus.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
111,1,obrazetsblanka.my1.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
112,1,usedalberni.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
113,1,lemontv.org,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
114,1,ooo.3dn.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
115,1,fullmatchesandshows.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
116,1,nana10.co.il,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
117,1,cagliarinews24.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
118,1,nintendo.moy.su,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
119,1,streamooo.blogspot.fr,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
120,1,stream2watch.co,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
121,1,butterfieldonline.ky,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
122,1,expedia.es,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
123,1,p2p4u.es,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
124,1,pratttribune.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
125,1,rebootillinois.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
126,1,hoteles.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
127,1,zayavlenievsud.my1.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
128,1,mrfreestuff.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
129,1,canalmonde.fr,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
130,1,time4tv.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
131,1,expedia.biz,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
