id,address,enabled,date_added,date_modified,comment,date_updated,number,invalid_domains,status
82,"https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
83,"https://raw.githubusercontent.com/CHEF-KOCH/Audio-fingerprint-pages/master/AudioFp.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
84,"https://raw.githubusercontent.com/CHEF-KOCH/Canvas-fingerprinting-pages/master/Canvas.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
85,"https://raw.githubusercontent.com/CHEF-KOCH/WebRTC-tracking/master/WebRTC.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
86,"https://raw.githubusercontent.com/CHEF-KOCH/CKs-FilterList/master/HOSTS/CK's-Ad-Tracker-HOSTS-FilterList.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
87,"https://raw.githubusercontent.com/CHEF-KOCH/CKs-FilterList/master/HOSTS/CK's-Spotify-HOSTS-FilterList.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
88,"https://raw.githubusercontent.com/CHEF-KOCH/CKs-FilterList/master/Corporations/NSABlocklist/CK's-NSABlocklist-FilterList.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
89,"https://raw.githubusercontent.com/mitchellkrogza/Badd-Boyz-Hosts/master/hosts	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
90,"https://raw.githubusercontent.com/r-a-y/mobile-hosts/master/AdguardMobileAds.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
91,"https://raw.githubusercontent.com/r-a-y/mobile-hosts/master/AdguardMobileSpyware.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
92,"https://raw.githubusercontent.com/EnergizedProtection/block/master/ultimate/formats/hosts.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
93,https://raw.githubusercontent.com/mitchellkrogza/The-Big-List-of-Hacked-Malware-Web-Sites/master/hacked-domains.list,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265303,9,0,2
94,"https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
95,"https://mirror1.malwaredomains.com/files/justdomains	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
96,"https://zeustracker.abuse.ch/blocklist.php?download=domainblocklist	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
97,"https://s3.amazonaws.com/lists.disconnect.me/simple_tracking.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
99,https://github.com/kry008/PI-HOLE-AD-LIST-POLSKA/blob/master/lista.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265303,15,15,2
100,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/adaway.org/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
101,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/adblock-nocoin-list/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
102,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/adguard-simplified/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
103,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/anudeepnd-adservers/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
104,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/disconnect.me-ad/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
105,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/disconnect.me-malvertising/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
106,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/disconnect.me-malware/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
107,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/disconnect.me-tracking/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
108,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/easylist/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
109,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/easyprivacy/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
110,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/eth-phishing-detect/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
111,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/fademind-add.2o7net/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
112,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/fademind-add.dead/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
113,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/fademind-add.risk/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
114,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/fademind-add.spam/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
115,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/kadhosts/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
116,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/malwaredomainlist.com/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
117,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/malwaredomains.com-immortaldomains/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
118,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/malwaredomains.com-justdomains/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
119,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/matomo.org-spammers/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
120,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/mitchellkrogza-badd-boyz-hosts/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
121,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/pgl.yoyo.org/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
122,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/ransomwaretracker.abuse.ch/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
123,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/someonewhocares.org/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
124,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/spam404.com/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
125,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/stevenblack/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
126,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/winhelp2002.mvps.org/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
127,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/zerodot1-coinblockerlists-browser/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
128,"https://raw.githubusercontent.com/hectorm/hmirror/master/data/zeustracker.abuse.ch/list.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
132,"https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
133,"https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-malware.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
134,"https://www.stopforumspam.com/downloads/toxic_domains_whole.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
135,"https://raw.githubusercontent.com/Akamaru/Pi-Hole-Lists/master/other.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
136,"https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
137,https://raw.githubusercontent.com/Cauchon/NSABlocklist-pi-hole-edition/master/HOSTS%20(including%20excessive%20GOV%20URLs),1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,4
